Time	cb	gl	xy
7.770000000000000000e+02	1.213611576468479614e+00	1.726763193729798473e+01	8.341860183770902992e+00
7.800000000000000000e+02	1.209225560956861845e+00	1.724002898294417463e+01	8.301409564708986721e+00
7.830000000000000000e+02	1.206355969894004510e+00	1.728189797626113489e+01	8.308251671924526960e+00
7.860000000000000000e+02	1.204021794903914921e+00	1.727619814124244613e+01	8.300915945789673955e+00
7.890000000000000000e+02	1.210650599732778998e+00	1.734515919621754065e+01	8.327237680283067434e+00
7.920000000000000000e+02	1.204265639584298109e+00	1.730671705021977402e+01	8.295489180527743756e+00
7.950000000000000000e+02	1.197934371665631215e+00	1.713620491118125244e+01	8.195693666114133080e+00
7.980000000000000000e+02	1.196730553380485729e+00	1.712793165231404657e+01	8.185620974499963509e+00
8.010000000000000000e+02	1.192651503061092910e+00	1.713092724659416888e+01	8.195396594864241990e+00
8.040000000000000000e+02	1.196505792670729429e+00	1.711551364371749173e+01	8.188199936042234839e+00
8.070000000000000000e+02	1.200205960792092297e+00	1.721081312652742312e+01	8.274366208562268454e+00
8.100000000000000000e+02	1.197737975850405423e+00	1.722662340248584556e+01	8.272666122886624507e+00
8.130000000000000000e+02	1.203517429424664220e+00	1.723585191584753318e+01	8.264946158025335166e+00
8.160000000000000000e+02	1.193195653378783971e+00	1.725787543210671515e+01	8.283069940813525989e+00
8.190000000000000000e+02	1.197864168159606946e+00	1.716086196159331223e+01	8.224826321128750450e+00
8.220000000000000000e+02	1.204525421550565856e+00	1.728622277997810386e+01	8.290351318315156703e+00
8.250000000000000000e+02	1.214454028808472641e+00	1.736546360472190287e+01	8.329086437825480971e+00
8.280000000000000000e+02	1.215333025124225808e+00	1.742665357121509828e+01	8.352741479650800827e+00
8.310000000000000000e+02	1.206036023014449787e+00	1.749378147565968078e+01	8.369628505604207902e+00
8.340000000000000000e+02	1.206510439191672779e+00	1.732119490397641570e+01	8.255297736622470239e+00
8.370000000000000000e+02	1.209469882734425461e+00	1.732853984094208499e+01	8.250043094495712381e+00
8.400000000000000000e+02	1.205082667847875877e+00	1.730367743215976972e+01	8.250191372009574309e+00
8.430000000000000000e+02	1.206487832744885580e+00	1.729875229013208582e+01	8.269047724300163438e+00
8.460000000000000000e+02	1.202260409315315970e+00	1.739203111497754861e+01	8.309661174481218993e+00
8.490000000000000000e+02	1.192137660603408422e+00	1.739438403672340883e+01	8.324589384017993865e+00
8.520000000000000000e+02	1.182863251428498907e+00	1.730352244303022857e+01	8.271685736156184632e+00
8.550000000000000000e+02	1.179929906917502658e+00	1.739567432123410740e+01	8.332225007182206156e+00
8.580000000000000000e+02	1.183235289939405854e+00	1.726000131389803016e+01	8.274033786507864363e+00
8.610000000000000000e+02	1.180258643626951098e+00	1.730476766366825103e+01	8.291927491800315408e+00
8.640000000000000000e+02	1.170630930449586771e+00	1.743168181761772573e+01	8.340340306976496976e+00
8.670000000000000000e+02	1.162335225146218454e+00	1.732293761120791586e+01	8.288922324494624405e+00
8.700000000000000000e+02	1.164305100974331708e+00	1.731651196755144895e+01	8.265678527100563500e+00
8.730000000000000000e+02	1.154348217202116000e+00	1.721496902079465130e+01	8.218334240551165237e+00
8.760000000000000000e+02	1.152342896059172839e+00	1.722551820461125871e+01	8.207907006008388962e+00
8.790000000000000000e+02	1.149931813101706002e+00	1.715330001648936786e+01	8.174764894366280288e+00
8.820000000000000000e+02	1.154036260429508465e+00	1.691148843502319465e+01	8.037069300115504689e+00
8.850000000000000000e+02	1.150178874171293941e+00	1.694773811378952644e+01	8.078351139874396125e+00
8.880000000000000000e+02	1.152581637493443667e+00	1.693147801667319285e+01	8.088932820709990423e+00
8.910000000000000000e+02	1.163584057099738223e+00	1.676128278262003235e+01	8.019481525275674372e+00
8.940000000000000000e+02	1.172368417372112726e+00	1.663142136794424175e+01	7.967653708213849661e+00
8.970000000000000000e+02	1.174602172461050920e+00	1.648039153294113746e+01	7.904252363677609416e+00
9.000000000000000000e+02	1.194502867051885131e+00	1.632124309540721541e+01	7.828868274918811210e+00
9.030000000000000000e+02	1.206133755321851631e+00	1.621399385839999141e+01	7.790818284947138572e+00
9.060000000000000000e+02	1.203010931694670216e+00	1.621428164941935179e+01	7.781130438991287868e+00
9.090000000000000000e+02	1.206012898337640360e+00	1.618566944860573997e+01	7.791061045202390289e+00
9.120000000000000000e+02	1.220855355783900809e+00	1.600654656760691452e+01	7.706915388824857160e+00
9.150000000000000000e+02	1.222694771240001144e+00	1.590390217311891519e+01	7.678224025490974824e+00
9.180000000000000000e+02	1.227210774827406814e+00	1.578313288206723186e+01	7.628984209821147999e+00
9.210000000000000000e+02	1.224690657224718926e+00	1.559795986336758844e+01	7.540060687210728751e+00
9.240000000000000000e+02	1.223271732691443292e+00	1.558557391434172956e+01	7.536712851677203062e+00
9.270000000000000000e+02	1.218747601697902638e+00	1.569341887147635717e+01	7.604832634394378843e+00
9.300000000000000000e+02	1.227048810848928362e+00	1.565064220210724955e+01	7.582149469365310424e+00
